"Timestamp","Do you think the crime rates are increasing in India?","Do you believe Social Media like Twitter, Facebook, WhatsApp etc.. plays a major role in mental instability of people?","The words like ""Depression"" or ""Suicide"" or ""Mental fatigue"" have become the order of the day.","Does Social Media encourage rift among poeple(sometimes) as the memes can be made by anyone and there is no check on the content?","Is social media being wrongly used by people for exploiting other's life? Does it result (or may result) in suicide of victims?","Is the hype in road accidents due to texting while driving?","What are the factors that cause Road-Accidents?","Is putting mobile in silent mode or vibration mode a good option while driving? How much do you think it will decrease the rate of accident due to social media, if we mark the current rate out of 5?","Do you drive car and use mobile at the same time?","Can murder be a cause for social media misuse or mis-interpretetion?","Most of the days we wake up to find murder in different forms in media through newspaper, websites or magazines. Does this means the social anxiety is increasing day by day?","Can you suggest ways to tackle depression and suicidial thoughts?","Can murders be decreased if people become more disciplined and use social media in a much  efficient way?","Can social issues decrease if people start being co-operative in nature and rather than just reacting to the situations?","Give some suggestions, how we, the citizens of India can decrease the social issue to some extent if not fully."
"2018/10/03 7:21:01 PM GMT+5:30","Yes","Maybe","Neutral","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","3","No","Maybe","Yes","Share your problems with family friends or seniors","Neutral","Yes","By creating awareness among people"
"2018/10/03 7:22:10 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","No","Drink and Drive","4","No","No","Maybe","Proper counseling and pessimistic thinging","Strongly disagree","Yes","With the feeling of togetherness and forgiveness everything is possible"
"2018/10/03 7:31:06 PM GMT+5:30","Yes","Maybe","Agree","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Drink and Drive","4","Maybe","No","No","","Agree","Yes","Impersonal problems, for example, shortage of money;
Personal problems, for example, emotional or health problems;
Interpersonal problems, such as disagreements with other people; and.
Community and wider societal problems, such as litter or crime rate."
"2018/10/03 7:38:19 PM GMT+5:30","Yes","Yes","Agree","Maybe","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","2","No","Maybe","Maybe","By yoga and pranayama","Agree","Yes","We shouldn't be addicted to that"
"2018/10/03 7:39:06 PM GMT+5:30","Yes","Yes","Agree","Maybe","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Drink and Drive","2","No","No","Maybe","Being positive in life...talking with parents about our problems. ","Neutral","Maybe","We must not support he wrong things that happen in front of us..we must fight back."
"2018/10/03 7:56:49 PM GMT+5:30","Yes","Yes","Neutral","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","No","Drink and Drive;Overwork and sleepy during driving","3","No","Maybe","No","Therapy","Agree","Maybe","Monitored content"
"2018/10/03 8:08:36 PM GMT+5:30","No","Yes","Agree","Yes","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","5","Maybe","Maybe","Yes","Talk to people. Socialize in the real world they can help you better than the ones siting behind the screen","Neutral","Yes","Preaching values with logic and Boosting morale. Nowadays due to the competitive world citizens tend to forget basic values and morales "
"2018/10/03 8:26:47 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","3","No","Maybe","Maybe","Discussing it with friends and family and think of positive aspects of life rather than overthinking about what had happened in past.","Neutral","Yes","Being cooperative in nature rather than just blindly reacting to situation which can adhere negative image on society and on self."
"2018/10/03 10:09:18 PM GMT+5:30","Yes","Maybe","Agree","No","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","No","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","1","No","No","Maybe","Talk to near ones. Don't just think they won't understand. They would.
If they won't, seek external help. There's no shame in that. ","Strongly disagree","Maybe","Have a sense of ownership towards the motherland and everything in it. "
"2018/10/03 11:15:26 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","5","No","Yes","Yes","Consult pshycologist","Agree","Yes","Be vigilant "
"2018/10/04 12:33:48 AM GMT+5:30","Yes","Yes","Agree","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","4","No","Maybe","No","Getting help and reaching out. Keeping oneself occupied.","Agree","Yes","Collapsing the barriers between genders and treating everyone equally. Also by demolishing racial and religious prejudice can play an important role."
"2018/10/12 11:21:03 AM GMT+5:30","Yes","Yes","Strongly disagree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive","2","Yes","Yes","Maybe","Exercise","Disagree","Maybe","Don't believe things blindly"
"2018/10/12 11:22:55 AM GMT+5:30","No","Maybe","Neutral","Maybe","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Social Media(chating, audio calling through Apps etc.);Drink and Drive","4","Maybe","Yes","Yes","Do yoga","Agree","No","Try therapy"
"2018/10/12 11:24:41 AM GMT+5:30","Maybe","Maybe","Strongly disagree","Maybe","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","No","Social Media(chating, audio calling through Apps etc.);Overwork and sleepy during driving","3","Yes","Maybe","Yes","Find some work you love to do","Disagree","Maybe","Communicate with people more."
"2018/10/12 11:26:35 AM GMT+5:30","Yes","Yes","Strongly disagree","Yes","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.","Maybe","Social Media(chating, audio calling through Apps etc.)","4","No","No","No","meet new people and make friends and try meeting them daily.","Disagree","Maybe","Spreading awareness using social media"
"2018/10/20 12:02:56 AM GMT+5:30","Yes","Yes","Strongly agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Yes","Social Media(chating, audio calling through Apps etc.)","5","Yes","Yes","Yes","","Strongly agree","Yes","Study properly"
"2018/10/20 12:06:43 AM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","3","No","Yes","Yes","Look at positive quotes","Neutral","Yes","We can become more tolerant towards hearing everyone's side of the story rather than simply thinking that we are right all the time."
"2018/10/20 12:14:43 AM GMT+5:30","Yes","Yes","Strongly agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","3","Maybe","Yes","No","","Agree","Yes","education"
"2018/10/20 12:16:59 AM GMT+5:30","Yes","Yes","Strongly agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","3","No","Yes","No","","Agree","Yes","Just talk to people. "
"2018/10/20 12:19:17 AM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Maybe","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","4","No","Yes","Maybe","Just go to sleep","Neutral","Yes","By eating and sleeping together "
"2018/10/20 12:22:28 AM GMT+5:30","Yes","Yes","Disagree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Social Media(chating, audio calling through Apps etc.);Overwork and sleepy during driving","0","Maybe","No","No","Positive attitude and optimism","Agree","Yes","Self defense and awareness among people"
"2018/10/20 12:26:40 AM GMT+5:30","Yes","Yes","Disagree","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Overwork and sleepy during driving","5","No","Yes","Yes","Assume responsibility. Build a timetable. Follow a repetitive schedule. ","Neutral","Yes","People should try to be articulate in their speech and support them with plausible explanations whenever required. Misinformed actions can be avoided. "
"2018/10/20 12:29:33 AM GMT+5:30","Yes","No","Agree","No","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive;Overwork and sleepy during driving","1","No","No","No","","Disagree","Yes","Participating in activities is needed at every level( example society, school). People should also be touch in real life rather than in virtual"
"2018/10/20 12:30:40 AM GMT+5:30","Yes","Yes","Strongly agree","Maybe","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","3","Maybe","Yes","No","","Agree","Yes","Instead of sharing start reacting"
"2018/10/20 12:50:56 AM GMT+5:30","Yes","No","Disagree","Maybe","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Overwork and sleepy during driving","3","Maybe","Maybe","Maybe","","Disagree","Yes","Why should I care"
"2018/10/20 12:54:27 AM GMT+5:30","Maybe","Yes","Neutral","Maybe","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","4","Maybe","Maybe","Maybe","Make good friends","Neutral","Yes","Be friendly and helpful to your society"
"2018/10/20 12:58:10 AM GMT+5:30","Yes","Yes","Disagree","Maybe","No, that's not true, most of the poeple are mature enough not to do that but still suicide can be due to low profile.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Social Media(chating, audio calling through Apps etc.);Overwork and sleepy during driving","3","No","No","No","","Strongly disagree","Maybe","Create Equality Among Citizens"
"2018/10/20 11:20:19 AM GMT+5:30","Yes","Yes","Strongly agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Maybe","Overwork and sleepy during driving","2","Yes","Yes","No","Just do it","Strongly disagree","Yes","Show compassion"
"2018/10/20 11:37:58 AM GMT+5:30","Yes","Yes","Agree","Yes","Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Drink and Drive","3","No","Maybe","Maybe","Talking helps a lot. Try to not be hard on yourself. It's okay to fail sometimes and it's okay to choose an easy path rather than a complex way.","Agree","Maybe","Be the change you want to see. Small steps like avoiding cyber bullying and teasing etc. And maybe using a little less of social media and living a real life will help you a lot"
"2018/10/20 2:49:44 PM GMT+5:30","No","Yes","Neutral","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","No","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","2","No","Maybe","Maybe","","Strongly agree","Maybe","Don't believe in every news that you see in social media most of them are fake"
"2018/10/20 2:54:48 PM GMT+5:30","Yes","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Maybe","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","1","No","Yes","Yes","No","Neutral","Maybe","No"
"2018/10/20 4:02:05 PM GMT+5:30","Maybe","Yes","Agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Maybe","Drink and Drive;Overwork and sleepy during driving","3","No","Yes","Maybe","Meditation and counselling","Agree","Yes","Counselling"
"2018/10/21 12:42:59 PM GMT+5:30","Yes","Yes","Strongly agree","Yes","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.","Maybe","Drink and Drive;Overwork and sleepy during driving;Recklessness","0","No","Yes","Yes","Leave social media","Agree","Yes","Always choose political party that follows right wing
"
"2018/10/21 12:43:59 PM GMT+5:30","Yes","Yes","Neutral","Maybe","Yes, poeple do make fake accounts and yes they use it cheat, this may resullt in suicide.;Yes, but suicide can also be because of other factors like pressure from family, education, loan etc.","Yes","Social Media(chating, audio calling through Apps etc.);Drink and Drive;Overwork and sleepy during driving","3","No","No","Yes","Focus on work rather than results","Agree","Yes","By involving ourselves more into outside activities rather being oN social media"